price,feasible,subscribers,rate_mbps,revenue,A_group_1,A_group_2,A_group_3,A_group_4
13.4,True,631.3756685431013,15.83843106129666,8460.433958477557,1.0,0.9876901442410951,0.259819599661295,0.0
13.5,True,621.2835496177302,16.09571025364007,8387.327919839357,1.0,0.9873129212849858,0.24868996151346318,0.0
13.600000000000001,True,611.3849357704803,16.356307483104384,8314.835126478532,1.0,0.986920421547806,0.2377787238513389,0.0
13.700000000000001,True,601.6816465055823,16.620084820731226,8243.038557126478,1.0,0.9865109895617419,0.2270882762332188,0.0
13.8,True,592.1753936190512,16.88688876261049,8172.020431942907,1.0,0.9860828010696703,0.21662092598456023,0.0
13.9,True,582.8677992692743,17.156549070881475,8101.862409842914,1.0,0.985633844118848,0.20637892271722585,0.0
14.0,True,573.7604133271009,17.42887757280494,8032.645786579413,1.0,0.9851618975679544,0.1963644820150076,0.0
14.100000000000001,True,564.8547293644133,17.70366694327268,7964.451684038228,1.0,0.9846645067858946,0.18657980889691878,0.0
14.200000000000001,True,556.1521995843038,17.980689472188555,7897.361234097115,1.0,0.9841389561151249,0.17702712040140384,0.0
14.3,True,547.6542482515355,18.259695842635075,7831.455749996958,1.0,0.9835822377665338,0.16770866744244545,0.0
14.4,True,539.3622834251255,18.540413943104728,7766.816881321807,1.0,0.9829910167334933,0.158626755642648,0.0
14.5,True,531.2777066401646,18.822547746715482,7703.526746282388,1.0,0.9823615913098148,0.14978376486460543,0.0
14.600000000000001,True,523.4019201042317,19.105776299041032,7641.668033521784,1.0,0.9816898487906489,0.1411821670511566,0.0
14.700000000000001,True,515.7363308675506,19.389752866893065,7581.324063752994,1.0,0.9809712159511211,0.132824541863637,0.0
14.8,True,508.28235130359224,19.67410431299255,7522.5787992931655,1.0,0.9802006039424829,0.12471358946117672,0.0
14.9,True,501.0413950986708,19.958430776025374,7465.516786970195,1.0,0.9793723473322492,0.11685213959133595,0.0
15.0,True,494.01486779762996,20.242305752013188,7410.223016964449,1.0,0.9784801371591472,0.10924315596199308,0.0
15.100000000000001,True,487.204150793329,20.52527669092454,7356.782676979269,1.0,0.9775169480957305,0.10188973463797896,0.0
15.200000000000001,True,480.61057748402277,20.80686624158295,7305.280777757147,1.0,0.9764749601374253,0.09479509496392369,0.0
15.3,True,474.23540022945014,21.086574294457314,7255.801623510587,1.0,0.9753454756739816,0.08796256121658147,0.0
15.4,True,468.07974647259636,21.36388099540523,7208.428095677984,1.0,0.9741188334694814,0.08139553308694641,0.0
15.5,True,462.14456269345294,21.638250900796905,7163.240721748521,1.0,0.9727843217666813,0.07509744260012932,0.0
15.600000000000001,True,456.43054455557416,21.9091384642914,7120.316495066958,1.0,0.9713300938827636,0.0690716953100234,0.0
15.700000000000001,True,450.93805218173634,22.175995021085104,7079.727419253261,1.0,0.9697430907899746,0.06332159335971237,0.0
15.8,True,445.66700986575535,22.438277410329782,7041.538755878934,1.0,0.9680089766520048,0.05785023837261541,0.0
15.9,True,440.6167903801009,22.6954583173588,7005.806967043604,1.0,0.9661120948394708,0.052660412680229016,0.0
16.0,True,435.7860852401992,22.947038326127686,6972.577363843187,1.0,0.9640354535122532,0.0477544383752758,0.0
16.1,True,431.17276389540757,23.19255954308321,6941.881498716062,1.0,0.9617607512160988,0.043134015169097394,0.0
16.2,True,426.77372682353933,23.431620485238444,6913.734374541337,1.0,0.9592684537915788,0.038800040072470475,0.0
16.3,True,422.58475980619437,23.66389172336976,6888.131584840969,1.0,0.9565379338515863,0.03475241448430777,0.0
16.400000000000002,True,418.6003990392687,23.889131551119004,6865.046544244008,1.0,0.9535476827189362,0.03098984721719387,0.0
